*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Dec  7 17:33:42 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Nov-23 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Nov-23 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459541.500000000, A.D. 2021-Nov-23 00:00:00.0000,  7.250988490673272E+07,  1.180962874617120E+08,  5.119363318740918E+07, -2.642680241281729E+01,  1.331349076704791E+01,  5.770525849909371E+00,  4.927861110255188E+02,  1.477335594926012E+08, -3.284046304043537E-01,
2459542.500000000, A.D. 2021-Nov-24 00:00:00.0000,  7.021555806481700E+07,  1.192284644600034E+08,  5.168436430175953E+07, -2.668136640440505E+01,  1.289357744753438E+01,  5.588679869659889E+00,  4.926926288452208E+02,  1.477055342399904E+08, -3.203551271492149E-01,
2459543.500000000, A.D. 2021-Nov-25 00:00:00.0000,  6.789956213357422E+07,  1.203241716308898E+08,  5.215930352389792E+07, -2.692838343295758E+01,  1.246928868713110E+01,  5.404974660547004E+00,  4.926014404028434E+02,  1.476781966327089E+08, -3.124963545814937E-01,
2459544.500000000, A.D. 2021-Nov-26 00:00:00.0000,  6.556255407851090E+07,  1.213830327340701E+08,  5.261829068709876E+07, -2.716773782389859E+01,  1.204066622207131E+01,  5.219420933313216E+00,  4.925124825961652E+02,  1.476515277531866E+08, -3.048846896072078E-01,
2459545.500000000, A.D. 2021-Nov-27 00:00:00.0000,  6.320520143543372E+07,  1.224046751594045E+08,  5.306116649526569E+07, -2.739930002056972E+01,  1.160775229919135E+01,  5.032028057840569E+00,  4.924256761113526E+02,  1.476255038237343E+08, -2.975762842656911E-01,
2459546.500000000, A.D. 2021-Nov-28 00:00:00.0000,  6.082818368638979E+07,  1.233887299799204E+08,  5.348777239555534E+07, -2.762292210348454E+01,  1.117059018532112E+01,  4.842803908756641E+00,  4.923409255619518E+02,  1.476000962482126E+08, -2.906261678355484E-01,
2459547.500000000, A.D. 2021-Nov-29 00:00:00.0000,  5.843219411877251E+07,  1.243348321532676E+08,  5.389795047990582E+07, -2.783843119959953E+01,  1.072922740345223E+01,  4.651755849836240E+00,  4.922581202877302E+02,  1.475752718515183E+08, -2.840843219161796E-01,
2459548.500000000, A.D. 2021-Nov-30 00:00:00.0000,  5.601794229963140E+07,  1.252426211897657E+08,  5.429154355863309E+07, -2.804562221305713E+01,  1.028372360964696E+01,  4.458893919257743E+00,  4.921771368888387E+02,  1.475509936393074E+08, -2.779873721799051E-01,
2459549.500000000, A.D. 2021-Dec-01 00:00:00.0000,  5.358615709453598E+07,  1.261117427570046E+08,  5.466839564155235E+07, -2.824425323200066E+01,  9.834164514999134E+00,  4.264237203082219E+00,  4.920978448672067E+02,  1.475272224892426E+08, -2.723453879002815E-01,
2459550.500000000, A.D. 2021-Dec-02 00:00:00.0000,  5.113758977947760E+07,  1.269418517353260E+08,  5.502835311809778E+07, -2.843404897918134E+01,  9.380681144419219E+00,  4.067823536453012E+00,  4.920201166043736E+02,  1.475039201422718E+08, -2.671255613523122E-01,
