*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Dec  7 17:37:51 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Nov-23 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Nov-23 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459541.500000000, A.D. 2021-Nov-23 00:00:00.0000, -1.910465861531606E+08, -1.293516460276629E+08, -5.417613385889207E+07,  1.524164768091851E+01, -1.572525605504485E+01, -7.624075520269344E+00,  7.905236816928506E+02,  2.369930376419093E+08, -1.960960838976138E+00,
2459542.500000000, A.D. 2021-Nov-24 00:00:00.0000, -1.897226098223933E+08, -1.307054740702655E+08, -5.483282820694605E+07,  1.540582119136837E+01, -1.561312127199526E+01, -7.577071333630345E+00,  7.899571686704689E+02,  2.368232013104405E+08, -1.970414773468200E+00,
2459543.500000000, A.D. 2021-Nov-25 00:00:00.0000, -1.883844831744442E+08, -1.320495528408294E+08, -5.548543256869274E+07,  1.556919888882035E+01, -1.549957867420490E+01, -7.529399930366560E+00,  7.893879492376531E+02,  2.366525536175352E+08, -1.979742173408564E+00,
2459544.500000000, A.D. 2021-Nov-26 00:00:00.0000, -1.870322755926820E+08, -1.333837607710492E+08, -5.613388931099880E+07,  1.573176627183263E+01, -1.538462986130306E+01, -7.481061659179950E+00,  7.888160600271731E+02,  2.364811055454217E+08, -1.988941855426031E+00,
2459545.500000000, A.D. 2021-Nov-27 00:00:00.0000, -1.856660577175792E+08, -1.347079764342219E+08, -5.677814083184332E+07,  1.589350876077968E+01, -1.526827652230508E+01, -7.432056907818772E+00,  7.882415380119531E+02,  2.363088681783039E+08, -1.998012646809567E+00,
2459546.500000000, A.D. 2021-Nov-28 00:00:00.0000, -1.842859014537022E+08, -1.360220785546399E+08, -5.741812956443246E+07,  1.605441169477056E+01, -1.515052043793982E+01, -7.382386102068084E+00,  7.876644205060256E+02,  2.361358527026470E+08, -2.006953383822178E+00,
2459547.500000000, A.D. 2021-Nov-29 00:00:00.0000, -1.828918799768233E+08, -1.373259460170877E+08, -5.805379798128086E+07,  1.621446032199912E+01, -1.503136350048993E+01, -7.332049710709737E+00,  7.870847451656196E+02,  2.359620704075047E+08, -2.015762893387224E+00,
2459548.500000000, A.D. 2021-Nov-30 00:00:00.0000, -1.814840677409396E+08, -1.386194578764228E+08, -5.868508859835729E+07,  1.637363979517320E+01, -1.491080773465210E+01, -7.281048254059812E+00,  7.865025499898364E+02,  2.357875326847209E+08, -2.024439976797933E+00,
