*******************************************************************************
 Revised: April 22, 2021              Neptune                               899
 
 PHYSICAL DATA (update 2021-May-03):
  Mass x10^24 (kg)      = 102.409         Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Volume, 10^10 km^3     = 6254     
  Vol. mean radius (km) = 24624+-21       Polar radius (km)      = 24342+-30
  Geometric Albedo      = 0.41            Flattening             =  0.0171
  Sid. rot. period (III)= 16.11+-0.01 hr  Sid. rot. rate (rad/s) =  0.000108338 
  Mean solar day, h     =~16.11 h         
  GM (km^3/s^2)         = 6835099.97      GM 1-sigma (km^3/s^2)  = +-10 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03
  Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)=  +7.84          Obliquity to orbit     = 28.32 deg
  Sidereal orbit period = 164.788501027 y Sidereal orbit period  = 60189 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    =  5.43 km/s 
  Atmos. temp. (1 bar)  =  72+-2 K        Escape speed (1 bar)  =  23.5 km/s     
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.54        1.49        1.51
  Maximum Planetary IR (W/m^2)   0.52        0.52        0.52
  Minimum Planetary IR (W/m^2)   0.52        0.52        0.52
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Dec  7 17:42:25 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Nov-23 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Nov-23 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459541.500000000, A.D. 2021-Nov-23 00:00:00.0000,  4.430633746170449E+09, -5.427814151987613E+08, -3.324784660253140E+08,  7.363294078086756E-01,  5.031314641329900E+00,  2.040614375432235E+00,  1.493073615810789E+04,  4.476122092588640E+09, -3.283165495702444E-02,
2459542.500000000, A.D. 2021-Nov-24 00:00:00.0000,  4.430697315369024E+09, -5.423467316232325E+08, -3.323021759395693E+08,  7.350892910020321E-01,  5.030812554994644E+00,  2.040321971555081E+00,  1.493072662916843E+04,  4.476119235884458E+09, -3.339724017579099E-02,
2459543.500000000, A.D. 2021-Nov-25 00:00:00.0000,  4.430760767928835E+09, -5.419120803070196E+08, -3.321258721277031E+08,  7.337776683348222E-01,  5.030657977448022E+00,  2.040912667279730E+00,  1.493071689170863E+04,  4.476116316667451E+09, -3.414141040514099E-02,
2459544.500000000, A.D. 2021-Nov-26 00:00:00.0000,  4.430824132785605E+09, -5.414774165342606E+08, -3.319494970550016E+08,  7.331451894149879E-01,  5.031090579460342E+00,  2.041821321631721E+00,  1.493070700895228E+04,  4.476113353891632E+09, -3.430790953467584E-02,
2459545.500000000, A.D. 2021-Nov-27 00:00:00.0000,  4.430887477110658E+09, -5.410427017686844E+08, -3.317730630812786E+08,  7.332379943336386E-01,  5.031739385062310E+00,  2.042151485957158E+00,  1.493069719024096E+04,  4.476110410316031E+09, -3.373948910627625E-02,
2459546.500000000, A.D. 2021-Nov-28 00:00:00.0000,  4.430950836550067E+09, -5.406079436851187E+08, -3.315966396317942E+08,  7.333498746585863E-01,  5.032008932313427E+00,  2.041607005056857E+00,  1.493068757359520E+04,  4.476107527318160E+09, -3.304138301497845E-02,
2459547.500000000, A.D. 2021-Nov-29 00:00:00.0000,  4.431014178242741E+09, -5.401731881940948E+08, -3.314202811162499E+08,  7.327532982262145E-01,  5.031696852842664E+00,  2.040800142533531E+00,  1.493067808246582E+04,  4.476104681949154E+09, -3.295500102290701E-02,
2459548.500000000, A.D. 2021-Nov-30 00:00:00.0000,  4.431077434915741E+09, -5.397384718042523E+08, -3.312439704419944E+08,  7.314561250619890E-01,  5.031203429160776E+00,  2.040614605302042E+00,  1.493066850514646E+04,  4.476101810741042E+09, -3.358650230874619E-02,
