*******************************************************************************
 Revised: Aug 19, 2015              134340 Pluto                            999
 
 Pre-computed solution PLU043/DE430 reversion; fit to data through mid-2015.

 PHYSICAL DATA (updated 2021-Jun-07; Mc= Charon mass, radius is IAU 2009):
  Mass x10^22 (kg)      = 1.307+-0.018    Volume, 10^10 km^3    = 0.697
  GM (planet) km^3/s^2  = 869.96          Density (R=1195 km)   = 1.86 g/cm^3
  GM 1-sigma, km^3/s^2  =   0.08          Surface gravity       = 0.611 m/s^2 
  Vol. mean radius (km) = 1188.3+-1.6     Mass ratio (Mc/Mp)    = 0.117
  Sidereal rot. period  = 153.29335198 h  Sid. rot. rat, rad/s  = 0.0000113856
  Mean solar day, h     = 153.2820        Mean orbit velocity   = 4.67 km/s
  Sidereal orbit period = 249.58932 yr    Escape speed, km/s    = 1.21            
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.56        0.56        0.88
  Maximum Planetary IR (W/m^2)   0.8         0.3         0.5
  Minimum Planetary IR (W/m^2)   0.8         0.3         0.5
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Dec  7 17:42:58 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Pluto (999)                     {source: plu043_merged}
Center body name: Sun (10)                        {source: plu043_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Nov-23 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Nov-23 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459541.500000000, A.D. 2021-Nov-23 00:00:00.0000,  2.245999722236576E+09, -4.185677179245425E+09, -1.982640042720598E+09,  5.045559361628788E+00,  1.756496154748934E+00, -9.753239712216260E-01,  1.716973015557454E+04,  5.147355606536413E+09,  1.148923032797830E+00,
2459542.500000000, A.D. 2021-Nov-24 00:00:00.0000,  2.246435281227320E+09, -4.185525866868856E+09, -1.982725110942678E+09,  5.034663261896585E+00,  1.744489796417978E+00, -9.911557978860617E-01,  1.717006303901511E+04,  5.147455402481289E+09,  1.160501070037996E+00,
2459543.500000000, A.D. 2021-Nov-25 00:00:00.0000,  2.246869532521245E+09, -4.185375807462805E+09, -1.982810701827210E+09,  5.017734897064257E+00,  1.729927882213001E+00, -9.864036400135114E-01,  1.717039822426722E+04,  5.147555888491904E+09,  1.163590872853555E+00,
2459544.500000000, A.D. 2021-Nov-26 00:00:00.0000,  2.247302610086377E+09, -4.185226615305222E+09, -1.982895070503893E+09,  5.009686023180795E+00,  1.726118872006339E+00, -9.651543337060935E-01,  1.717073261684103E+04,  5.147656136863543E+09,  1.155454335671925E+00,
2459545.500000000, A.D. 2021-Nov-27 00:00:00.0000,  2.247735678688871E+09, -4.185077103400563E+09, -1.982977549088746E+09,  5.017510643371904E+00,  1.736782121063292E+00, -9.462100729681449E-01,  1.717106383467721E+04,  5.147755433472785E+09,  1.143368990686008E+00,
2459546.500000000, A.D. 2021-Nov-28 00:00:00.0000,  2.248169895072847E+09, -4.184926342200165E+09, -1.983059142790985E+09,  5.034042293462760E+00,  1.752725498499726E+00, -9.463230266704409E-01,  1.717139233381512E+04,  5.147853915036792E+09,  1.138138310088313E+00,
2459547.500000000, A.D. 2021-Nov-29 00:00:00.0000,  2.248605375724092E+09, -4.184774489179665E+09, -1.983141633392221E+09,  5.044342157720958E+00,  1.760042369197909E+00, -9.652411479263064E-01,  1.717172100189104E+04,  5.147952447247137E+09,  1.144448099207818E+00,
2459548.500000000, A.D. 2021-Nov-30 00:00:00.0000,  2.249041092860628E+09, -4.184622648373179E+09, -1.983225989204459E+09,  5.039033925846453E+00,  1.752525312852980E+00, -9.859316876920995E-01,  1.717205258046486E+04,  5.148051852002804E+09,  1.156682715973459E+00,
