*******************************************************************************
 Revised: September 30, 2021           Uranus                               799
 
 PHYSICAL DATA:
  Mass x10^24 (kg)      = 86.813          Density (g/cm^3)       =  1.271
  Equat. radius (1 bar) = 25559+-4 km     Polar radius (km)      = 24973+-20
  Vol. Mean Radius (km) = 25362+-12       Flattening             =  0.02293
  Geometric Albedo      = 0.51
  Sid. rot. period (III)= 17.24+-0.01 h   Sid. rot. rate (rad/s) = -0.000101237
  Mean solar day, h     =~17.24           Rocky core mass (Mc/M) =  0.0012        
  GM (km^3/s^2)         = 5793951.256     GM 1-sigma (km^3/s^2)  = +-4.3 
  Equ. grav, ge (m/s^2) =  8.87           Pol. grav, gp (m/s^2)  =   9.19+-0.02
  Visual magnitude V(1,0)= -7.11
  Vis. mag. (opposition)=  +5.52          Obliquity to orbit     = 97.77 deg
  Sidereal orbit period = 84.0120465 y    Sidereal orbit period  = 30685.4 d
  Mean daily motion     = 0.01176904 dg/d Mean orbit velocity    =  6.8 km/s
  Atmos. temp. (1 bar)  =  76+-2 K        Escape speed, km/s     =  21.3           
  Aroche(ice)/Rp        =  2.20           Hill's sphere rad., Rp = 2700
                                 Perihelion   Aphelion    Mean
  Solar Constant (W/m^2)         4.09         3.39        3.71
  Maximum Planetary IR (W/m^2)   0.72         0.55        0.63
  Minimum Planetary IR (W/m^2)   0.72         0.55        0.63
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Dec  7 17:41:48 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura116}
Center body name: Sun (10)                        {source: ura116}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Nov-23 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Nov-23 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459541.500000000, A.D. 2021-Nov-23 00:00:00.0000,  2.169627960535165E+09,  1.843745408973846E+09,  7.768168835419213E+08, -4.662197187466777E+00,  4.282866657403038E+00,  1.941406151603671E+00,  9.844451937927830E+03,  2.951292444134247E+09, -2.407760585220109E-01,
2459542.500000000, A.D. 2021-Nov-24 00:00:00.0000,  2.169225112858556E+09,  1.844115408732713E+09,  7.769846155489599E+08, -4.662955792465864E+00,  4.281963663604733E+00,  1.941180629427536E+00,  9.844382560162236E+03,  2.951271645203370E+09, -2.406752863860369E-01,
2459543.500000000, A.D. 2021-Nov-25 00:00:00.0000,  2.168822192882240E+09,  1.844485336358581E+09,  7.771523123492839E+08, -4.663944294930376E+00,  4.281178950966443E+00,  1.940717862737464E+00,  9.844313193329574E+03,  2.951250849550102E+09, -2.407320683334048E-01,
2459544.500000000, A.D. 2021-Nov-26 00:00:00.0000,  2.168419183814842E+09,  1.844855194484764E+09,  7.773199779498037E+08, -4.664924293373739E+00,  4.280342077125447E+00,  1.940431183386735E+00,  9.844243805276164E+03,  2.951230047535015E+09, -2.407687904740359E-01,
2459545.500000000, A.D. 2021-Nov-27 00:00:00.0000,  2.168016094600849E+09,  1.845224981396785E+09,  7.774876113056440E+08, -4.665907932601661E+00,  4.279557225047262E+00,  1.939958794122262E+00,  9.844174413442333E+03,  2.951209244386585E+09, -2.408245587161310E-01,
2459546.500000000, A.D. 2021-Nov-28 00:00:00.0000,  2.167612910823605E+09,  1.845594700437779E+09,  7.776552119532374E+08, -4.667000244662955E+00,  4.278731337147090E+00,  1.939724879122026E+00,  9.844104989075668E+03,  2.951188431485057E+09, -2.409229228206988E-01,
2459547.500000000, A.D. 2021-Nov-29 00:00:00.0000,  2.167209645789145E+09,  1.845964345482297E+09,  7.778227910312290E+08, -4.667836312522416E+00,  4.277886779214252E+00,  1.939349778304883E+00,  9.844035561807026E+03,  2.951167617713539E+09, -2.408819314125153E-01,
2459548.500000000, A.D. 2021-Nov-30 00:00:00.0000,  2.166806296438124E+09,  1.846333923164688E+09,  7.779903272301356E+08, -4.669028372011754E+00,  4.277148271716058E+00,  1.938877162327592E+00,  9.843966119256378E+03,  2.951146799360590E+09, -2.410616945333234E-01,
