*******************************************************************************
 Revised: April 12, 2021                Venus                           299 / 2
 
 PHYSICAL DATA (updated 2020-Oct-19):
  Vol. Mean Radius (km) =  6051.84+-0.01 Density (g/cm^3)      =  5.204
  Mass x10^23 (kg)      =    48.685      Volume (x10^10 km^3)  = 92.843
  Sidereal rot. period  =   243.018484 d Sid. Rot. Rate (rad/s)= -0.00000029924
  Mean solar day        =   116.7490 d   Equ. gravity  m/s^2   =  8.870
  Mom. of Inertia       =     0.33       Core radius (km)      = ~3200
  Geometric Albedo      =     0.65       Potential Love # k2   = ~0.25
  GM (km^3/s^2)         = 324858.592     Equatorial Radius, Re = 6051.893 km
  GM 1-sigma (km^3/s^2) =    +-0.006     Mass ratio (Sun/Venus)= 408523.72
  Atmos. pressure (bar) =  90            Max. angular diam.    =   60.2"
  Mean Temperature (K)  = 735            Visual mag. V(1,0)    =   -4.40
  Obliquity to orbit    = 177.3 deg      Hill's sphere rad.,Rp =  167.1
  Sidereal orb. per., y =   0.61519726   Orbit speed, km/s     =   35.021
  Sidereal orb. per., d = 224.70079922   Escape speed, km/s    =   10.361
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         2759         2614       2650
  Maximum Planetary IR (W/m^2)    153         153         153
  Minimum Planetary IR (W/m^2)    153         153         153
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Dec  7 17:36:28 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Nov-23 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Nov-23 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459541.500000000, A.D. 2021-Nov-23 00:00:00.0000,  9.107253184284118E+07,  5.542051463224124E+07,  1.917448282467634E+07, -1.902934602486822E+01,  2.630202410258426E+01,  1.303875209138948E+01,  3.613178272009245E+02,  1.083203595357844E+08, -2.341912659870809E-01,
2459542.500000000, A.D. 2021-Nov-24 00:00:00.0000,  8.939311061096781E+07,  5.767111178610543E+07,  2.029341059682031E+07, -1.984369573724170E+01,  2.579169941151241E+01,  1.286065412756338E+01,  3.612501903437930E+02,  1.083000825161335E+08, -2.351537755896551E-01,
2459543.500000000, A.D. 2021-Nov-25 00:00:00.0000,  8.764397384371369E+07,  5.987673255208929E+07,  2.139651202864679E+07, -2.064302411323970E+01,  2.526096769084986E+01,  1.267242347448841E+01,  3.611823024330547E+02,  1.082797302325048E+08, -2.359333334604005E-01,
2459544.500000000, A.D. 2021-Nov-26 00:00:00.0000,  8.582644708727124E+07,  6.203563050736655E+07,  2.248291743725433E+07, -2.142669162915027E+01,  2.471021930607265E+01,  1.247419531445012E+01,  3.611142163219883E+02,  1.082593185299126E+08, -2.365290834431301E-01,
2459545.500000000, A.D. 2021-Nov-27 00:00:00.0000,  8.394191068305823E+07,  6.414609366890436E+07,  2.355176916903482E+07, -2.219406949075735E+01,  2.413986107006745E+01,  1.226611290914282E+01,  3.610459850905638E+02,  1.082388633213315E+08, -2.369403087527848E-01,
2459546.500000000, A.D. 2021-Nov-28 00:00:00.0000,  8.199179881739739E+07,  6.620644590417339E+07,  2.460222229455256E+07, -2.294454017187525E+01,  2.355031600111912E+01,  1.204832752484035E+01,  3.609776620050927E+02,  1.082183805755999E+08, -2.371664332398447E-01,
2459547.500000000, A.D. 2021-Nov-29 00:00:00.0000,  7.997759852483831E+07,  6.821504832029444E+07,  2.563344529665290E+07, -2.367749794880924E+01,  2.294202306575794E+01,  1.182099835049608E+01,  3.609093004775248E+02,  1.081978863052177E+08, -2.372070225558325E-01,
2459548.500000000, A.D. 2021-Nov-30 00:00:00.0000,  7.790084864549848E+07,  7.017030063031144E+07,  2.664462075118743E+07, -2.439234943018768E+01,  2.231543690642622E+01,  1.158429240871913E+01,  3.608409540244272E+02,  1.081773965540480E+08, -2.370617852177028E-01,
